class,path_rgb,path_gray
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00022.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00022.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00023.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00023.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00024.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00024.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00025.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00025.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00026.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00026.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00027.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00027.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00028.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00028.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00029.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00029.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00030.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00030.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00031.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00031.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00032.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00032.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00033.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00033.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00034.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00034.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00035.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00035.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00036.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00036.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00037.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00037.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00038.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00038.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00039.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00039.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00040.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00040.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00041.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00041.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00042.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00042.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00043.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00043.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00044.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00044.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00045.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00045.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00046.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00046.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00047.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00047.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00048.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00048.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00049.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00049.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00050.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00050.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00051.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00051.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00052.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00052.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00053.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00053.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00054.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00054.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00055.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00055.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00056.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00056.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00057.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00057.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00058.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00058.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00059.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00059.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00060.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00060.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00061.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00061.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00062.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00062.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00063.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00063.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00064.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00064.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00065.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00065.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00066.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00066.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00067.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00067.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00068.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00068.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00069.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00069.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00070.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00070.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00071.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00071.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00072.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00072.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00073.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00073.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00074.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00074.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00075.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00075.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00076.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00076.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00077.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00077.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00078.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00078.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00079.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00079.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00080.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00080.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00081.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00081.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00082.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00082.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00083.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00083.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00084.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00084.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00085.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00085.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00086.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00086.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00087.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00087.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00088.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00088.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00089.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00089.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00090.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00090.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00091.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00091.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00092.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00092.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00093.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00093.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00094.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00094.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00095.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00095.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00096.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00096.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00097.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00097.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00098.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00098.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00099.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00099.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00100.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00100.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00101.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00101.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00102.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00102.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00103.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00103.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00104.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00104.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00105.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00105.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00106.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00106.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00107.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00107.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00108.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00108.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00109.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00109.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00110.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00110.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00111.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00111.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00112.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00112.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00113.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00113.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00114.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00114.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00115.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00115.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00116.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00116.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00117.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00117.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00118.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00118.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00119.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00119.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00120.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00120.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00121.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00121.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00122.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00122.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00123.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00123.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00124.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00124.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00125.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00125.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00126.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00126.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00127.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00127.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00128.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00128.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00129.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00129.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00130.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00130.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00131.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00131.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00132.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00132.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00133.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00133.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00134.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00134.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00135.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00135.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00136.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00136.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00137.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00137.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00138.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00138.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00139.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00139.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00140.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00140.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00141.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00141.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00142.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00142.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00143.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00143.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00144.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00144.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00145.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00145.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00146.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00146.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00147.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00147.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00148.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00148.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00149.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00149.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00150.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00150.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00151.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00151.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00152.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00152.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00153.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00153.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00154.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00154.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00155.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00155.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00156.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00156.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00157.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00157.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00158.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00158.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_b\aluminium_foil_sample_b_00159.png,data_resized/gray\aluminium_foil\sample_b\aluminium_foil_sample_b_00159.png
